date,symbol,ofi_window,ofi_thresh,bucket,net_bps,net_pkr,capture_pkr,markout_pkr,liq_pkr,fee_pkr,markout_bps,opened_notional,fills,throttle
2026-01-08,BOP,OFF,,middle,15.900601167148013,281.0029925119952,279.1599999999914,29.32000000000383,0.0,27.477007488000005,1.659077086878139,176724.76,11,ON
2026-01-08,BOP,OFF,,preclose45,84.43482940345511,525.9614393200026,84.86999999999918,450.7300000000033,0.0,9.63856068,72.35760611314508,62292.0,1,ON
2026-01-08,BOP,OFF,,last15,17.259213546565917,43.88493324799898,0.0,0.0,47.83999999999898,3.955066752000001,0.0,25426.960000000003,5,ON
2026-01-08,DGKC,OFF,,first15,-6.062626199522972,-42.360478649996935,59.99999999999659,-91.49999999999352,0.0,10.86047865,-13.095468109314028,69871.5,3,ON
2026-01-08,DGKC,OFF,,middle,-0.0638973057829485,-2.7050764659946798,571.5150000000076,-508.4950000000023,0.0,65.725076466,-12.011290960735616,423347.50000000006,34,ON
2026-01-08,DGKC,OFF,,preclose45,-32.13903075514143,-333.39584248999734,184.3000000000066,-501.600000000004,0.0,16.095842490000003,-48.35374582471805,103735.5,6,ON
2026-01-08,DGKC,OFF,,last15,25.847200219770997,176.76770994300284,11.889999999999077,4.640000000000725,170.88000000000304,10.642290057000002,0.6784667236930706,68389.5,5,ON
2026-01-08,ENGROH,OFF,,first15,35.1601783200762,2738.921318407019,3100.020000000016,-240.04999999999688,0.0,121.048681593,-3.0815784115489224,778983.91,48,ON
2026-01-08,ENGROH,OFF,,middle,4.446111501403887,990.5636268140402,2494.055000000073,-1157.175000000033,0.0,346.316373186,-5.193941042621236,2227932.4900000007,156,ON
2026-01-08,ENGROH,OFF,,preclose45,19.33486165641948,1760.5207662680448,1137.0300000000127,765.0500000000324,0.0,141.55923373200008,8.402136568715825,910542.2099999998,66,ON
2026-01-08,ENGROH,OFF,,last15,-4.3046054494459565,-107.30141659099328,318.83499999999754,-595.3049999999924,207.90000000000165,38.731416591,-23.881820282487208,249271.2,23,ON
2026-01-08,HASCOL,OFF,,first15,-0.1806167757216926,-10.719115987003477,4.745000000009782,76.78499999998675,0.0,92.249115987,1.2938248956913052,593472.89,40,ON
2026-01-08,HASCOL,OFF,,middle,-26.18992129327756,-1221.4764533830048,-31.90000000002093,-1212.9299999999828,95.99999999999908,72.646453383,-26.00667507447564,466391.8,38,ON
2026-01-08,HASCOL,OFF,,preclose45,,0.0,0.0,0.0,0.0,0.0,,0.0,0,ON
2026-01-08,HASCOL,OFF,,last15,,0.0,0.0,0.0,0.0,0.0,,0.0,0,ON
2026-01-08,HBL,OFF,,first15,19.43543558724155,611.9009393620127,632.8600000000088,27.960000000003845,0.0,48.91906063800001,0.8880763928650445,314837.78,16,ON
2026-01-08,HBL,OFF,,middle,13.84778127223373,2532.3194722450307,2728.8450000000216,87.68500000000893,0.0,284.21052775500004,0.479498228467773,1828682.46,114,ON
2026-01-08,HBL,OFF,,preclose45,-11.638758873169698,-968.381167562992,567.0750000000135,-1406.2050000000054,0.0,129.251167563,-16.900866589994937,832031.3,31,ON
