date,symbol,n_events,n_fills,n_orders_sent,n_cancels,rejected_crossing,halted_requotes,pos_at_close,net_pnl,equity_mid_mark,liquidation_clean,unfilled_sh,eod_fired,rest_oid_resolved_frac
2026-01-02,PPL,48161,1168,11928,5436,260,4511,-528.0,-15196.265353691953,,False,528.0,True,0.1733
2026-01-05,UBL,19461,434,4819,2196,53,0,-467.0,-2696.881057854014,-2445.600966854021,True,0.0,True,0.2516
2026-01-05,PPL,39880,1323,14614,6553,265,70,-529.0,-1924.2846067522332,,True,0.0,True,0.2185
2026-01-06,UBL,33009,709,7662,3809,104,1475,-22.0,-9701.49333588015,,False,22.0,True,0.1899
2026-01-06,PPL,47672,1176,12843,6297,193,3183,-328.0,-9746.312019488862,,False,328.0,True,0.1736
2026-01-07,UBL,41440,1230,12484,5671,116,0,448.0,-7082.240828853857,-6872.369032565883,True,0.0,True,0.1671
2026-01-07,PPL,43737,1064,13933,5052,333,30,524.0,189.2919614398561,,True,0.0,True,0.2388
2026-01-08,UBL,24419,860,7845,3868,125,0,-453.0,-4202.677519780933,-3938.6517490429105,True,0.0,True,0.2427
2026-01-08,PPL,40762,1159,12203,5944,245,0,-544.0,2262.751443633111,2300.2143082731345,True,0.0,True,0.2006
2026-01-09,UBL,13789,526,6387,2238,47,676,-231.0,1321.3910096439067,1400.5974367899034,True,0.0,True,0.2651
2026-01-09,PPL,32605,920,10555,5050,190,1083,-541.0,-1992.716099602112,-1682.2947655571334,True,0.0,True,0.2036
2026-01-12,UBL,13843,411,3709,2176,14,0,-448.0,70.35883680707775,286.46225440705894,True,0.0,True,0.258
2026-01-12,PPL,29947,781,9315,4865,87,0,-521.0,788.7687014460826,868.6966498950933,True,0.0,True,0.2229
2026-01-13,UBL,21518,476,4971,2647,40,0,-364.0,-6359.398384938249,-6274.545671538246,True,0.0,True,0.2428
2026-01-13,PPL,35021,906,10418,5447,118,0,409.0,-3474.0083790801145,-3401.845873892118,True,0.0,True,0.1634
