date,symbol,n_events,n_fills,n_orders_sent,n_cancels,rejected_crossing,halted_requotes,pos_at_close,net_pnl,equity_mid_mark,liquidation_clean,unfilled_sh,eod_fired,rest_oid_resolved_frac
2025-11-07,PPL,21750,84,4759,3523,7,2535,-160.0,842.0498712899935,873.9630383529948,True,0.0,True,0.1836
2025-11-10,UBL,7562,427,1572,1049,9,0,-455.0,1707.6890206051758,1874.988227282156,True,0.0,True,0.2861
2025-11-10,PPL,25147,116,5345,4515,12,0,-532.0,557.9840840050165,608.6954965310142,True,0.0,True,0.1895
2025-11-11,UBL,11035,698,2967,2141,34,0,108.0,386.50734430219745,407.9525999581965,True,0.0,True,0.2521
2025-11-11,PPL,31586,202,7612,5966,23,0,477.0,-786.9714545370371,-616.0794605470292,True,0.0,True,0.2131
2025-11-12,UBL,5781,388,1224,880,5,0,-496.0,-133.02795740184956,82.12740591514739,True,0.0,True,0.2745
2025-11-12,PPL,37879,164,8795,6683,28,0,191.0,225.84282779602654,229.57660046402452,True,0.0,True,0.1742
2025-11-13,UBL,4536,241,878,603,6,630,-217.0,-7000.915969736947,,False,217.0,True,0.3288
2025-11-13,PPL,20449,159,4560,3494,10,0,-144.0,754.1889142270411,764.2253876350405,True,0.0,True,0.2083
2025-11-14,UBL,8515,190,1319,1009,17,1169,-337.0,-2157.418272869065,-2012.7779874490516,True,0.0,True,0.2515
2025-11-14,PPL,40780,195,6432,5308,72,3349,-417.0,-885.7105324700533,-856.5221587700507,True,0.0,True,0.1977
2025-11-17,UBL,7601,356,1501,1243,6,0,58.0,-479.82250518198634,-477.8448285479899,True,0.0,True,0.3432
2025-11-17,PPL,36473,169,6843,6141,12,0,322.0,1185.4961764310065,1214.301357249009,True,0.0,True,0.1863
2025-11-18,UBL,6496,376,1255,899,12,804,-456.0,-15411.472230135929,,False,456.0,True,0.3751
2025-11-18,PPL,22908,91,4889,3931,6,0,-303.0,680.1024085960162,714.9579984460142,True,0.0,True,0.2115
2025-11-19,UBL,6060,292,1323,953,12,784,,,,,,False,0.2904
2025-11-19,PPL,47743,250,10277,6653,27,2314,,,,,,False,0.218
2025-11-20,UBL,5154,204,982,788,16,0,259.0,206.8897724000417,524.4368240050244,True,0.0,True,0.3445
2025-11-20,PPL,48963,334,9701,8087,26,0,236.0,1926.6843783440272,1950.485717260024,True,0.0,True,0.1552
2025-11-21,UBL,7335,186,1559,1079,2,1613,337.0,-12092.735788693026,,False,337.0,True,0.3155
2025-11-21,PPL,35263,223,7162,4775,56,3803,443.0,973.1649171509052,1028.8410951309052,True,0.0,True,0.1655
2025-11-24,UBL,7141,416,1658,1221,13,0,-456.0,1032.9290541191003,1274.1803229190991,True,0.0,True,0.337
2025-11-24,PPL,25514,215,5711,4580,27,0,204.0,2910.7227102530305,2922.9559176670373,True,0.0,True,0.2092
2025-11-25,UBL,5586,384,1246,1018,1,3,-398.0,-13003.158439233026,,False,398.0,True,0.2586
2025-11-25,PPL,21557,94,3383,3205,1,0,514.0,-198.3108046130219,-184.26375266101968,True,0.0,True,0.2207
2025-11-26,UBL,7479,569,2133,1471,8,0,-146.0,-3.3649416549524176,28.640477545042813,True,0.0,True,0.2914
2025-11-26,PPL,24718,204,6403,4471,24,0,320.0,1171.7344480580723,1213.4826326980765,True,0.0,True,0.1902
2025-11-27,UBL,7203,270,1275,1006,5,0,-530.0,-846.2924791297992,-700.8348801297834,True,0.0,True,0.2464
2025-11-27,PPL,38975,197,7602,6863,11,0,-388.0,-1679.437913979913,-1671.2573607799131,True,0.0,True,0.2079
2025-11-28,UBL,10127,446,1838,1310,14,1389,47.0,2248.005789982104,2265.602303752101,True,0.0,True,0.1933
2025-11-28,PPL,50435,317,10065,7647,66,5940,19.0,1555.9485874189195,1955.9555874189195,False,19.0,True,0.1812
2025-12-01,UBL,6155,308,1926,631,113,0,-281.0,-47.72334633306309,29.429158179933438,True,0.0,True,0.2732
2025-12-01,PPL,34364,194,18031,5223,2803,0,-571.0,1174.582690125928,1255.4255439059343,True,0.0,True,0.1515
2025-12-02,UBL,6788,295,1211,792,11,0,-503.0,1274.8925270392792,1314.8550219392637,True,0.0,True,0.3402
2025-12-02,PPL,43947,199,9582,7484,25,39,-25.0,2231.595604617013,2235.0011791920133,True,0.0,True,0.1805
2025-12-03,UBL,7136,264,1250,957,20,0,129.0,-325.5966732751549,-298.8747702721521,True,0.0,True,0.3506
2025-12-03,PPL,33605,160,6487,5259,15,13,90.0,1055.028399807019,1064.1401465970193,True,0.0,True,0.1709
2025-12-04,UBL,5070,265,893,701,2,0,511.0,-36.131385199929355,178.00856964709237,True,0.0,True,0.3223
2025-12-04,PPL,23840,126,4474,3606,20,0,-272.0,1567.8261798590465,1604.9361054590481,True,0.0,True,0.1837
2025-12-05,UBL,8925,270,1621,1151,21,1078,472.0,-1284.3199579627835,-1154.9270579627773,True,0.0,True,0.256
2025-12-05,PPL,54154,267,10173,7596,26,6401,-360.0,-5034.863924322999,,False,360.0,True,0.169
2025-12-08,UBL,7975,409,2046,1433,12,0,-429.0,404.1385722409759,718.576683235995,True,0.0,True,0.2182
2025-12-08,PPL,45280,200,9864,6730,88,0,419.0,371.47698026198486,414.23841367497516,True,0.0,True,0.1363
2025-12-09,UBL,6723,399,1626,1173,8,0,-430.0,1161.8358831031946,1258.278154893167,True,0.0,True,0.2508
2025-12-09,PPL,34951,158,7683,6353,13,0,527.0,1088.0513676410046,1137.8672367109975,True,0.0,True,0.148
2025-12-10,UBL,7777,400,1860,1312,18,10,490.0,1844.000144775171,,True,0.0,True,0.3202
2025-12-10,PPL,30295,154,5871,4682,11,66,,,,,,False,0.2519
2025-12-11,UBL,6494,266,1252,979,12,0,491.0,-39.268382895883406,24.20680086410721,True,0.0,True,0.2983
2025-12-11,PPL,33201,151,6587,5484,17,0,379.0,855.8564262750006,909.6217073750013,True,0.0,True,0.1575
2025-12-12,UBL,13862,531,2932,2145,20,1316,56.0,-529.4567442740299,-517.1676829860298,True,0.0,True,0.2596
2025-12-12,PPL,40959,205,7501,5926,19,3743,266.0,390.7399235810153,397.9448607610102,True,0.0,True,0.1491
2025-12-15,UBL,10852,417,2117,1554,22,0,225.0,-1132.862427827,-1048.5398820769915,True,0.0,True,0.2548
2025-12-15,PPL,51672,442,11505,8537,96,0,-213.0,3057.5723846990295,3077.3408331200335,True,0.0,True,0.189
2025-12-16,UBL,13498,803,3411,2240,50,0,-328.0,-3760.708974612091,-3596.560148548102,True,0.0,True,0.2164
2025-12-16,PPL,37293,418,8618,6794,33,3,380.0,-7726.42796726698,,False,380.0,True,0.2136
2025-12-17,UBL,19496,1065,4685,3157,43,0,-81.0,-7800.823656809036,-7782.492295709038,True,0.0,True,0.3164
2025-12-17,PPL,31947,286,6628,5573,14,18,-153.0,559.3257186468982,594.8651076109018,True,0.0,True,0.1892
2025-12-18,UBL,16222,793,3974,2679,39,0,244.0,1479.6658989186544,1731.457965718655,True,0.0,True,0.1865
2025-12-18,PPL,29277,286,6676,5384,77,0,173.0,1230.9866887739845,1276.0898582999798,True,0.0,True,0.1867
2025-12-19,UBL,13239,615,2649,1634,23,1561,236.0,2107.750676219046,2200.5925458910497,True,0.0,True,0.231
2025-12-19,PPL,34664,248,6909,5161,21,3198,459.0,-1243.0072287210642,-1193.8935232380609,True,0.0,True,0.1934
2025-12-22,UBL,10366,602,2625,1859,18,0,518.0,130.42787612817483,263.440760986181,True,0.0,True,0.2352
2025-12-22,PPL,23801,174,4697,3716,15,0,484.0,833.1649714430532,893.469547543049,True,0.0,True,0.2273
2025-12-23,UBL,8872,354,2016,1497,13,0,542.0,-987.7749201769475,-778.0878978269466,True,0.0,True,0.2655
2025-12-23,PPL,23729,223,5056,4133,11,15,-66.0,1715.6675593799937,1720.0849941599918,True,0.0,True,0.2518
2025-12-24,UBL,5205,395,1350,1016,10,0,429.0,96.73365515173646,209.0869748017576,True,0.0,True,0.2471
2025-12-24,PPL,20954,154,4333,3641,24,10,73.0,885.4148794090052,890.6851151390038,True,0.0,True,0.2421
2025-12-26,UBL,5870,319,1305,942,19,318,-444.0,1231.0065545070684,1358.1845363740576,True,0.0,True,0.2567
2025-12-26,PPL,34169,233,7815,5860,34,995,-414.0,613.043829259972,651.4409547799878,True,0.0,True,0.1945
2025-12-29,UBL,6778,390,1331,929,48,16,-470.0,-1566.2802484248532,-1445.2306133748498,True,0.0,True,0.3424
2025-12-29,PPL,34397,276,7335,6081,16,2272,-325.0,-6533.18968685306,,False,325.0,True,0.2065
2025-12-30,UBL,10175,503,2142,1549,18,742,50.0,-571.5542537572364,,False,50.0,True,0.2837
2025-12-30,PPL,40839,299,9570,7726,198,2145,-480.0,1607.2965541209996,,True,0.0,True,0.2122
2025-12-31,UBL,10163,664,2829,1881,31,0,-30.0,-295.52005255726544,-279.97944748726695,True,0.0,True,0.2333
2025-12-31,PPL,36641,447,8825,6674,30,11,-29.0,2856.5652232430693,2863.4758077940696,True,0.0,True,0.1854
2026-01-01,UBL,15755,1158,3937,2572,49,0,-248.0,-6538.45159342495,-6493.955353320955,True,0.0,True,0.2753
2026-01-01,PPL,30434,503,8153,6123,119,0,-67.0,926.3628690690712,938.98349177007,True,0.0,True,0.2006
2026-01-02,UBL,15898,1048,3694,2299,63,1105,-243.0,-12305.677843033904,-12266.537292358902,True,0.0,True,0.2306
2026-01-02,PPL,48161,565,11107,7898,51,4511,549.0,-146.35937254605233,,True,0.0,True,0.1733
2026-01-05,UBL,19461,1415,5423,2948,144,0,-185.0,-11161.501206506364,-11061.95770150637,True,0.0,True,0.2516
2026-01-05,PPL,39880,674,12141,6986,188,70,413.0,-9764.176404983955,,False,413.0,True,0.2185
2026-01-06,UBL,33009,2181,9380,5208,227,1475,52.0,-8123.254506140336,,True,0.0,True,0.1899
2026-01-06,PPL,47672,432,10174,7016,67,3183,524.0,956.969204759007,,True,0.0,True,0.1736
2026-01-07,UBL,41440,3217,13376,5490,298,0,-255.0,-1936.2789218315738,-1816.8036053165706,True,0.0,True,0.1671
2026-01-07,PPL,43737,619,14788,6758,123,30,262.0,619.7345242348529,,True,0.0,True,0.2388
2026-01-08,UBL,24419,2209,7605,3342,229,0,-458.0,-4604.811926411436,-4337.871963943442,True,0.0,True,0.2427
2026-01-08,PPL,40762,831,10569,6053,235,0,482.0,3170.662898413182,3203.852353193186,True,0.0,True,0.2006
2026-01-09,UBL,13789,988,4278,1798,52,676,-142.0,4458.210040744787,4506.899705916789,True,0.0,True,0.2651
2026-01-09,PPL,32605,420,8832,4971,61,1083,434.0,1258.1267686999927,1554.741253981003,True,0.0,True,0.2036
2026-01-12,UBL,13843,1056,3647,2145,57,0,-293.0,-1754.0155115042871,-1612.6800174042874,True,0.0,True,0.258
2026-01-12,PPL,29947,349,7654,4897,37,0,180.0,-287.6360783870332,-247.27658286204678,True,0.0,True,0.2229
2026-01-13,UBL,21518,1287,5701,3084,103,0,-117.0,-8705.753106033699,-8678.479019583698,True,0.0,True,0.2428
2026-01-13,PPL,35021,535,10572,6429,81,0,161.0,1024.7462665770508,1050.120984629044,True,0.0,True,0.1634
2026-01-14,UBL,19084,1013,4906,2679,133,0,355.0,-911.737376060104,-886.3269308400922,True,0.0,True,0.2307
2026-01-14,PPL,48284,608,13639,7483,121,0,-544.0,851.9899786970636,867.8281034970714,True,0.0,True,0.1708
2026-01-15,UBL,16688,1030,4712,2697,82,0,-457.0,1033.5421609015611,1461.6733795015607,True,0.0,True,0.2419
2026-01-15,PPL,49872,736,14805,8605,229,0,-4.0,1820.222916786884,1820.800849886884,True,0.0,True,0.1538
2026-01-16,UBL,16044,892,6147,2318,75,581,-484.0,1102.6441816379956,1229.5766422380111,True,0.0,True,0.1882
2026-01-16,PPL,59165,882,19258,9371,462,1291,-370.0,606.3147440610628,638.7140448810678,True,0.0,True,0.1872
2026-01-19,UBL,25698,1294,6631,3353,192,0,-465.0,-10923.49300560489,-10675.433408104902,True,0.0,True,0.2281
2026-01-19,PPL,42246,699,11514,6933,121,0,202.0,4078.2821655849184,4116.773598884909,True,0.0,True,0.1742
2026-01-20,UBL,16619,746,3612,2006,122,0,-366.0,-1814.4055985823215,-1659.4536685683124,True,0.0,True,0.2967
2026-01-20,PPL,40511,609,11033,7372,108,0,-232.0,226.46703660002095,242.9738226800182,True,0.0,True,0.224
2026-01-21,UBL,10750,687,2621,1576,20,0,455.0,560.3988082770375,780.1616697770369,True,0.0,True,0.3686
2026-01-21,PPL,37582,645,12035,6343,297,9,475.0,378.4695191538485,412.3100296538614,True,0.0,True,0.1884
2026-01-22,UBL,12553,471,2559,1680,63,0,497.0,-1302.4254287001677,-1180.4718616301543,True,0.0,True,0.2799
